SNP	SNP_Chr	SNP_Start	Number_genes	List_genes
kgp1625425_C	chr11	104991190	64	A_23_P19020, A_23_P171143, A_23_P422981, A_32_P34444, A_24_P133162, A_23_P82351, A_23_P411833, A_32_P69166, A_23_P129174, A_24_P44514, A_23_P379071, A_32_P184464, A_23_P108294, A_23_P65278, A_23_P311144, A_32_P787109, A_23_P3302, A_32_P203099, A_23_P81717, A_23_P102634, A_23_P96872, A_23_P404667, A_23_P361544, A_24_P252846, A_23_P111361, A_24_P297816, A_32_P19806, A_23_P384635, A_23_P23996, A_23_P45811, A_24_P165545, A_24_P160680, A_23_P350698, A_23_P36689, A_23_P77714, A_32_P85106, A_32_P404549, A_24_P275585, A_23_P391844, A_23_P324523, A_23_P300076, A_24_P401491, A_23_P54488, A_23_P396724, A_24_P250650, A_23_P144165, A_23_P71368, A_23_P207174, A_23_P160567, A_23_P146294, A_32_P61480, A_23_P348253, A_23_P326931, A_32_P4262, A_24_P63078, A_24_P942346, A_23_P83200, A_32_P61495, A_23_P92120, A_23_P127915, A_23_P61031, A_24_P286951, A_23_P355510, A_23_P45955
rs9349637_G	chr6	52469023	28	A_23_P255876, A_24_P595717, A_32_P204205, A_23_P43846, A_23_P62642, A_24_P58488, A_32_P331139, A_23_P319549, A_23_P48229, A_23_P426153, A_23_P2322, A_23_P73150, A_23_P393025, A_23_P156402, A_23_P18282, A_23_P28186, A_23_P360354, A_23_P146294, A_23_P313652, A_23_P110319, A_23_P340822, A_23_P92517, A_23_P133536, A_32_P85106, A_24_P391991, A_23_P4074, A_32_P167705, A_24_P63078
rs1483025_A	chr11	105005936	23	A_23_P171143, A_23_P411833, A_23_P82351, A_23_P424878, A_24_P133162, A_23_P14975, A_23_P502413, A_24_P47988, A_23_P26386, A_23_P397248, A_23_P361544, A_24_P120462, A_23_P20722, A_32_P69166, A_24_P275585, A_23_P5211, A_23_P132826, A_23_P129174, A_32_P787109, A_23_P160567, A_24_P250650, A_23_P324523, A_23_P65278
rs1145786_G	chr6	91621876	21	A_23_P300076, A_23_P86710, A_23_P115785, A_23_P104876, A_23_P103433, A_23_P17103, A_23_P67785, A_24_P450285, A_23_P91491, A_23_P93141, A_23_P21162, A_24_P320604, A_24_P250650, A_24_P55225, A_23_P427014, A_23_P424900, A_24_P912048, A_23_P55779, A_23_P60599, A_23_P92928, A_23_P27528
rs1847293_G	chr11	104979669	9	A_23_P92562, A_23_P312271, A_23_P56659, A_23_P77714, A_24_P165545, A_23_P147397, A_23_P407112, A_24_P280706, A_23_P320242
rs4147268_T	chr1	217084292	7	A_23_P350698, A_24_P165545, A_32_P410753, A_23_P329340, A_32_P61480, A_24_P491397, A_32_P19806
kgp2263580_T	chr12	122591751	3	A_24_P310009, A_24_P379353, A_24_P166397
kgp4823739_A	chr12	122606176	3	A_24_P310009, A_24_P379353, A_24_P166397
kgp9300579_A	chr10	53859544	3	A_32_P175715, A_23_P80278, A_32_P204205
kgp11848173_C	chr6	22565043	3	A_24_P37519, A_23_P129188, A_23_P48229
kgp6246477_G	chr20	32737218	2	A_23_P256455, A_23_P29684
rs10762569_C	chr10	53877006	2	A_32_P175715, A_32_P204205
kgp6129854_T	chr10	53889620	2	A_23_P80278, A_32_P204205
rs1785864_A	chr11	104955489	2	A_23_P329361, A_23_P404667
rs6059692_C	chr20	32746203	1	A_23_P256455
kgp1987981_T	chr20	32738612	1	A_23_P256455
rs10762562_C	chr10	53855492	1	A_23_P10025
kgp6226708_T	chr6	53894790	1	A_32_P453321
rs2478894_A	chr9	126905188	1	A_23_P327605
rs3823034_A	chr6	52455546	1	A_23_P43846
rs4436447_A	chr1	217070040	1	A_24_P165545
