SNP	SNP_Chr	SNP_Start	Number_genes	List_genes
kgp1625425_C	chr11	104991190	219	A_23_P502413, A_23_P397248, A_24_P120462, A_24_P252846, A_23_P390726, A_23_P311144, A_32_P787109, A_23_P96872, A_32_P184464, A_23_P10685, A_23_P171143, A_23_P356425, A_23_P422981, A_32_P85106, A_32_P203099, A_23_P108294, A_23_P65278, A_23_P132826, A_24_P401491, A_23_P384635, A_23_P324523, A_24_P165545, A_32_P404549, A_24_P160680, A_23_P326931, A_23_P144165, A_23_P146294, A_23_P396724, A_23_P102634, A_23_P71368, A_24_P275585, A_24_P63078, A_23_P348383, A_24_P659036, A_23_P92517, A_23_P36689, A_23_P375419, A_23_P102950, A_23_P92928, A_23_P361544, A_23_P54488, A_32_P19806, A_23_P5211, A_23_P92120, A_23_P23996, A_32_P4262, A_23_P147397, A_23_P127915, A_23_P391844, A_24_P297816, A_23_P160567, A_23_P386384, A_23_P313652, A_23_P56659, A_23_P45955, A_23_P350698, A_23_P77714, A_23_P112004, A_32_P14721, A_32_P61495, A_23_P300076, A_32_P125771, A_23_P163492, A_23_P26386, A_24_P233014, A_23_P61031, A_24_P47988, A_23_P411833, A_23_P67569, A_24_P331779, A_23_P14975, A_23_P45811, A_23_P383679, A_24_P336137, A_32_P61480, A_23_P32135, A_23_P308722, A_24_P942346, A_24_P286951, A_23_P111361, A_23_P129367, A_23_P28186, A_23_P424561, A_23_P422732, A_23_P92562, A_23_P340822, A_23_P355510, A_23_P76731, A_23_P167812, A_23_P424900, A_23_P407112, A_24_P626931, A_23_P74870, A_24_P88801, A_23_P312874, A_24_P115651, A_24_P58488, A_32_P56624, A_23_P75063, A_32_P175715, A_23_P218476, A_24_P247026, A_23_P129174, A_32_P410753, A_24_P250650, A_23_P54612, A_23_P393025, A_23_P348253, A_23_P8702, A_23_P200670, A_32_P69166, A_23_P384532, A_23_P319549, A_23_P83347, A_23_P55373, A_32_P211418, A_23_P103011, A_32_P141418, A_23_P421054, A_23_P83200, A_24_P21507, A_23_P414281, A_32_P489986, A_23_P3302, A_24_P280706, A_23_P309973, A_23_P76914, A_23_P70643, A_23_P94840, A_23_P40315, A_23_P33583, A_23_P428248, A_23_P50389, A_23_P360990, A_24_P73730, A_23_P160167, A_23_P255876, A_23_P41194, A_23_P29663, A_23_P319783, A_23_P57118, A_23_P2322, A_23_P362148, A_23_P15678, A_23_P156402, A_23_P206140, A_23_P73150, A_23_P342709, A_32_P167705, A_23_P18282, A_23_P368996, A_23_P104876, A_32_P111639, A_23_P164068, A_23_P98571, A_32_P204205, A_23_P103433, A_24_P942921, A_23_P166526, A_24_P255100, A_23_P379071, A_23_P152949, A_23_P170901, A_23_P357983, A_23_P82351, A_23_P362736, A_23_P346912, A_23_P92860, A_23_P121885, A_23_P374919, A_23_P2006, A_23_P394377, A_32_P46603, A_32_P332551, A_32_P206899, A_23_P62642, A_24_P186608, A_23_P257668, A_23_P207174, A_23_P156180, A_32_P69930, A_23_P76983, A_23_P422115, A_24_P450285, A_24_P390060, A_23_P363275, A_23_P168771, A_23_P68978, A_32_P212471, A_23_P29153, A_24_P842006, A_23_P13486, A_23_P255701, A_23_P326893, A_23_P217208, A_24_P340954, A_23_P150979, A_32_P3955, A_23_P333029, A_23_P252388, A_23_P501933, A_24_P385732, A_23_P329340, A_32_P142700, A_24_P211420, A_24_P364057, A_23_P98763, A_23_P74653, A_24_P313993, A_23_P385067, A_23_P424878, A_32_P449380, A_23_P404667, A_24_P133162, A_32_P34444, A_23_P128008, A_32_P19519, A_23_P90933, A_23_P20722
rs1483025_A	chr11	105005936	208	A_24_P133162, A_23_P324523, A_23_P129174, A_23_P361544, A_24_P275585, A_23_P83347, A_23_P3302, A_32_P69166, A_24_P250650, A_23_P329361, A_32_P787109, A_23_P397248, A_23_P50389, A_24_P120462, A_23_P160567, A_23_P26386, A_23_P103905, A_23_P14975, A_23_P252388, A_23_P326931, A_24_P47988, A_23_P411833, A_23_P171143, A_23_P82351, A_23_P357207, A_23_P132826, A_23_P155755, A_23_P311144, A_23_P168771, A_23_P207174, A_23_P502413, A_23_P396724, A_32_P19806, A_23_P36689, A_23_P65278, A_23_P358410, A_24_P165545, A_23_P108294, A_24_P58488, A_23_P312863, A_23_P356425, A_23_P386384, A_24_P336137, A_23_P147397, A_23_P32135, A_23_P379071, A_23_P67569, A_23_P102634, A_23_P5211, A_32_P61480, A_23_P424561, A_24_P160680, A_23_P92562, A_23_P102950, A_23_P313652, A_23_P366035, A_23_P127915, A_32_P404549, A_23_P384635, A_23_P146294, A_24_P286951, A_23_P383679, A_23_P96872, A_23_P155301, A_23_P111361, A_23_P112004, A_32_P203099, A_23_P39110, A_23_P140450, A_23_P28186, A_23_P45955, A_23_P391844, A_23_P40315, A_23_P16214, A_23_P87238, A_32_P125771, A_23_P355510, A_24_P331779, A_24_P297816, A_24_P398781, A_23_P375419, A_24_P73730, A_23_P384532, A_23_P74870, A_23_P340822, A_23_P300076, A_23_P348253, A_32_P14721, A_23_P75063, A_23_P61031, A_23_P160167, A_23_P393025, A_23_P350698, A_23_P29663, A_23_P164068, A_23_P407112, A_32_P175715, A_23_P206140, A_23_P129367, A_23_P103433, A_24_P942921, A_24_P247026, A_24_P88801, A_23_P156402, A_32_P141418, A_24_P115651, A_23_P41194, A_23_P312874, A_23_P83200, A_23_P45811, A_23_P47322, A_23_P76731, A_23_P54612, A_23_P308722, A_23_P257668, A_24_P942346, A_32_P211418, A_24_P626931, A_24_P381975, A_23_P104876, A_23_P163492, A_23_P200670, A_23_P33583, A_24_P233014, A_23_P23996, A_23_P360990, A_23_P255876, A_23_P319549, A_23_P55373, A_32_P489986, A_23_P319783, A_23_P94840, A_23_P428248, A_23_P76914, A_32_P167705, A_23_P73150, A_23_P255701, A_23_P2322, A_23_P374919, A_32_P204205, A_23_P333029, A_23_P70643, A_24_P21507, A_23_P421054, A_23_P362148, A_23_P8702, A_23_P422732, A_23_P342709, A_24_P450285, A_23_P152949, A_23_P363275, A_23_P18282, A_23_P92860, A_23_P10685, A_23_P414281, A_23_P15678, A_32_P332551, A_23_P47728, A_32_P111639, A_23_P218476, A_23_P424900, A_23_P357983, A_23_P98571, A_23_P121885, A_32_P61495, A_23_P406135, A_23_P346912, A_23_P362736, A_23_P121657, A_23_P103011, A_23_P76983, A_23_P2006, A_24_P390060, A_23_P73493, A_23_P422115, A_32_P212471, A_32_P46603, A_23_P394377, A_23_P170901, A_24_P255100, A_23_P368996, A_23_P166526, A_32_P56624, A_23_P424878, A_23_P98763, A_23_P13486, A_23_P47904, A_24_P737939, A_23_P115785, A_23_P62642, A_32_P206899, A_23_P501933, A_23_P68978, A_24_P842006, A_23_P207245, A_23_P29153, A_32_P3955, A_24_P211420, A_24_P364057, A_32_P118372, A_24_P313993, A_24_P340954, A_32_P142700, A_24_P385732, A_23_P326893, A_23_P329340, A_23_P20722, A_32_P449380
rs1847293_G	chr11	104979669	64	A_24_P453497, A_23_P356163, A_23_P379945, A_23_P147397, A_23_P407112, A_24_P165545, A_23_P329361, A_23_P92562, A_23_P366035, A_23_P35293, A_23_P77714, A_23_P256455, A_23_P344481, A_23_P76914, A_24_P203298, A_23_P103905, A_24_P280706, A_23_P218358, A_23_P56659, A_23_P65857, A_32_P204205, A_23_P30693, A_23_P4714, A_32_P3955, A_23_P423074, A_23_P406135, A_23_P116207, A_23_P360990, A_23_P13486, A_24_P186608, A_23_P501933, A_23_P76983, A_23_P215070, A_23_P410224, A_23_P135576, A_23_P207245, A_24_P381975, A_32_P61480, A_23_P201400, A_23_P95594, A_23_P257668, A_23_P333029, A_23_P73493, A_24_P364057, A_23_P156180, A_23_P98763, A_23_P115785, A_32_P449380, A_32_P99753, A_23_P337899, A_23_P21990, A_32_P331139, A_24_P316257, A_32_P410753, A_23_P18213, A_23_P312271, A_23_P129425, A_23_P381102, A_32_P140030, A_24_P55225, A_23_P320242, A_23_P68072, A_23_P129188, A_23_P90933
rs1699081_G	chr11	104958571	52	A_23_P167812, A_23_P82351, A_23_P329361, A_23_P356425, A_23_P147397, A_23_P344481, A_24_P165545, A_23_P366035, A_23_P65278, A_23_P163492, A_23_P32135, A_23_P76731, A_23_P200670, A_24_P233014, A_23_P218476, A_24_P203298, A_24_P320604, A_23_P76914, A_23_P309973, A_23_P422732, A_23_P98571, A_23_P4714, A_23_P428248, A_23_P41194, A_23_P56659, A_24_P737939, A_23_P406135, A_23_P103011, A_23_P73493, A_32_P56624, A_23_P76983, A_23_P170901, A_23_P68978, A_32_P3955, A_23_P368996, A_24_P186608, A_23_P360990, A_32_P206899, A_32_P69930, A_23_P135576, A_24_P364057, A_23_P98763, A_23_P501933, A_24_P313993, A_23_P207245, A_32_P331139, A_23_P86710, A_24_P211420, A_23_P21990, A_24_P385732, A_32_P142700, A_32_P449380
rs1785864_A	chr11	104955489	48	A_23_P79803, A_23_P329361, A_23_P312863, A_23_P311144, A_23_P357207, A_24_P165545, A_32_P787109, A_23_P32135, A_23_P87238, A_23_P344481, A_23_P92928, A_23_P76731, A_23_P65857, A_24_P88801, A_23_P127915, A_23_P257668, A_32_P61480, A_23_P206140, A_24_P233014, A_23_P319783, A_23_P200670, A_23_P76914, A_23_P4714, A_24_P203298, A_23_P218476, A_23_P333029, A_23_P319549, A_23_P71368, A_23_P428248, A_23_P73150, A_24_P390060, A_24_P737939, A_23_P98763, A_23_P98571, A_23_P406135, A_23_P76983, A_23_P115785, A_23_P346912, A_23_P207245, A_23_P368996, A_23_P68978, A_23_P73493, A_24_P842006, A_32_P46603, A_24_P211420, A_24_P186608, A_23_P13486, A_23_P2006
rs1792753_T	chr11	104930676	42	A_23_P311144, A_23_P113462, A_32_P787109, A_32_P118372, A_23_P71368, A_23_P87238, A_23_P65278, A_23_P32135, A_23_P200670, A_23_P65857, A_24_P233014, A_23_P76731, A_23_P404667, A_23_P319549, A_23_P422732, A_23_P344481, A_23_P346912, A_23_P428248, A_23_P103011, A_23_P98571, A_23_P76983, A_23_P73493, A_23_P215070, A_32_P46603, A_23_P68978, A_24_P186608, A_24_P320604, A_24_P737939, A_23_P30693, A_32_P3955, A_23_P2006, A_24_P280706, A_23_P98763, A_32_P206899, A_24_P364057, A_23_P326893, A_23_P56659, A_23_P170901, A_32_P69930, A_23_P368996, A_23_P135576, A_24_P842006
rs17740112_G	chr18	33791013	37	A_23_P97853, A_24_P10444, A_23_P60599, A_23_P123402, A_24_P401491, A_23_P386384, A_24_P391991, A_24_P63078, A_23_P102950, A_23_P64372, A_23_P75063, A_23_P117274, A_32_P61495, A_23_P15678, A_23_P154784, A_23_P32135, A_23_P393025, A_24_P284353, A_24_P491397, A_23_P368805, A_23_P152949, A_23_P326893, A_23_P29663, A_24_P336137, A_32_P206899, A_23_P8702, A_23_P94840, A_24_P286951, A_23_P218476, A_32_P204205, A_23_P2322, A_32_P141418, A_32_P485915, A_23_P414281, A_23_P28186, A_23_P357983, A_24_P737939
rs4147268_T	chr1	217084292	19	A_23_P502957, A_23_P55632, A_23_P75063, A_23_P502413, A_23_P164068, A_32_P4262, A_32_P141418, A_23_P422732, A_23_P346912, A_24_P491397, A_32_P19806, A_24_P340954, A_23_P76983, A_32_P410753, A_24_P390060, A_23_P2322, A_23_P41194, A_23_P200670, A_23_P329340
kgp741070_T	chr21	33558967	16	A_23_P31407, A_23_P214950, A_23_P97853, A_23_P19657, A_23_P161507, A_24_P398781, A_23_P103486, A_23_P201655, A_23_P203267, A_24_P684183, A_23_P39110, A_32_P61480, A_23_P117274, A_24_P275585, A_23_P155755, A_23_P361544
kgp3700677_G	chr8	3921805	8	A_24_P626931, A_23_P129188, A_32_P453321, A_23_P18213, A_24_P252846, A_23_P41194, A_32_P140030, A_23_P28023
